,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
0,1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0
1,1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760.0,33623,76.7,0,0,0,0
2,1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710.0,3511,25.6,1,0,0,0
3,1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0
4,1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066.0,4740,39.5,0,1,0,0
5,1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51.0,0,0,0,0
6,1,debt_consolidation,0.1496,194.02,10.71441777,4.0,667,3180.041667,3839,76.8,0,0,1,1
7,1,all_other,0.1114,131.22,11.00209984,11.08,722,5116.0,24220,68.6,0,0,0,1
8,1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989.0,69909,51.1,1,0,0,0
9,1,debt_consolidation,0.1221,84.12,10.20359214,10.0,707,2730.041667,5630,23.0,1,0,0,0
10,1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71.0,2,0,1,0
11,1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298.0,5122,18.2,2,1,0,0
12,1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0
13,1,small_business,0.0714,92.82,11.51292546,6.5,747,4384.0,3021,4.8,0,1,0,0
14,1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0
15,1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0
16,1,all_other,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0
17,1,credit_card,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0
18,1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760.0,8311,59.8,0,0,0,0
19,1,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0
20,1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0
21,1,all_other,0.0863,474.42,10.81977828,2.59,797,11951.0,5656,27.6,0,0,0,0
22,1,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.9583329999998,21162,57.7,0,0,0,0
23,1,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0
24,1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0
25,1,all_other,0.0901,159.03,12.429216199999999,10.0,712,1553.958333,14354,36.6,0,2,0,0
26,1,all_other,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0
27,1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0
28,1,all_other,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0
29,1,all_other,0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0
30,1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0
31,1,credit_card,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0
32,1,home_improvement,0.0743,155.38,11.91839057,0.0,777,7128.958333,6053,19.5,0,0,0,0
33,1,home_improvement,0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0
34,1,credit_card,0.087,158.3,11.22524339,15.55,757,4770.0,66033,23.0,0,0,0,0
35,1,all_other,0.0743,155.38,11.46163217,3.83,772,2535.0,3660,6.8,0,0,0,0
36,1,credit_card,0.0743,155.38,11.35040654,0.31,787,3540.0,216,0.6,0,0,0,0
37,1,credit_card,0.1122,164.23,11.28978191,1.21,672,3990.0,27185,16.1,3,0,1,0
38,1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,4320.0,28329,48.6,1,0,0,0
39,1,home_improvement,0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,0
40,1,home_improvement,0.0807,156.84,12.10071213,5.55,742,4019.0,40934,26.3,0,0,0,0
41,1,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,3540.0,8379,16.9,0,0,0,0
42,1,small_business,0.087,94.98,10.1266311,14.54,752,2460.0,3660,7.8,1,0,0,0
43,1,home_improvement,0.1028,97.2,12.20607265,0.0,677,3779.958333,0,0.0,0,1,0,0
44,1,credit_card,0.1122,164.23,10.30895266,18.64,702,5190.0,15840,47.1,0,0,0,0
45,1,credit_card,0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0
46,1,educational,0.0775,168.6,8.987196821,3.0,762,6659.958333,1321,16.5,0,0,0,0
47,1,all_other,0.0838,160.72,10.37349118,14.78,772,4379.0,4737,23.9,0,0,0,0
48,1,credit_card,0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,0
49,1,debt_consolidation,0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,0
50,1,credit_card,0.0743,155.38,10.71441777,1.12,782,5807.0,1783,0.0,1,0,0,0
51,1,small_business,0.1028,323.98,10.217422000000001,10.7,712,1379.0,3534,54.4,0,0,0,0
52,1,small_business,0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,0
53,1,educational,0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,0
54,1,debt_consolidation,0.1596,94.88,10.86283777,12.57,627,1409.0,3075,92.3,1,0,0,0
55,1,small_business,0.1059,398.69,11.00209984,17.12,747,14008.958330000001,17214,8.1,2,1,0,0
56,1,credit_card,0.1154,39.6,9.903487553,2.04,662,1139.0,1153,75.8,2,0,0,0
57,1,credit_card,0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,1
58,1,credit_card,0.1249,401.37,11.22524339,15.0,682,4479.0,43039,93.4,3,0,0,0
59,1,all_other,0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,0
60,1,debt_consolidation,0.1186,397.75,11.08214255,7.14,682,8730.0,11868,71.9,0,2,0,0
61,1,all_other,0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14.0,2,0,0,0
62,1,all_other,0.1028,113.39,9.903487553,1.5,682,1410.0,1882,32.4,0,0,0,0
